distance_normalized,displacement_normalized,variance_normalized,velocity_normalized,efficiency_normalized
-0.7554857995817419,-0.9122754449680468,-0.1967765648130182,-0.5775476653086776,-1.1138517013432498
-0.7678908845711033,-0.921860979330224,-0.17953822549745158,-0.5937585081117591,-0.5841171163107634
-0.7701318760483509,-0.9253582678395228,-0.1967765648130182,-0.5678211557083784,-0.8718491159045038
-0.7593114103839163,-0.9110674538035857,-0.1967765648130182,-0.5730457561180158,-0.46239715403950027
-0.7674267596322423,-0.9211366671641825,-0.12305415041963304,-0.6142330226806567,-0.5394237910469273
-0.6857037860410631,-0.8216307508319997,-0.19222779978109264,-0.49689535278922464,-0.4329905534239802
-0.5213717671561426,-0.7023822687175334,0.034335170337675455,-0.4887286601712624,-1.2284267328525313
-0.5023618807456761,-0.6200084398735319,-0.19219950475089778,-0.5441176589035496,-0.6238916662255016
-0.7597755345112424,-0.9185802714907305,-0.16531422040680518,-0.5660581173280398,-1.4249220993877665
-0.75436530249056,-0.9054821109384438,-0.18279330077231173,-0.6028698866501739,-0.5001656042197488
-0.7701318760483509,-0.9278312242602136,0.22020269505895648,-0.6101756410516744,-1.6507701032056488
-0.5684593715359793,-0.6837629357294336,-0.1888657421526777,-0.38220411819671524,-0.4846845275481743
-0.708378326121829,-0.8831422610861203,-0.1967765648130182,-0.5390218430760453,-1.677896547884601
-0.6099935639768104,-0.7268999630250627,-0.1543140535169987,-0.572167293860405,-0.3879701473005273
-0.7532448067519362,-0.9039502445402553,-0.1967765648130182,-0.5755666282721866,-0.4793939503749507
-0.14285609115481362,-0.27101016316178506,0.30233432711042096,0.05722797664678322,-0.8648854276459359
-0.7674267596322423,-0.9253582678395228,-0.18279330077231173,-0.6116860299809586,-1.5366997656196564
-0.5375392038002875,-0.6925784530090386,-0.17700415263344818,-0.36411182104965156,-0.9696456816925322
-0.48095862094512604,-0.6651736174157225,-0.14211317030021126,-0.15989047921252345,-1.221544483590339
-0.15125068957077453,-0.3087764162653084,0.5891479847154885,-0.4044792134179534,-0.9831518696936488
-0.7575345438455295,-0.9091855187330479,-0.18497818566068833,-0.57936312840809,-0.4934149041802196
-0.7169755756289863,-0.8620342577094191,-0.16629741866949935,-0.5865319019369203,-0.5372595750228556
-0.762016526800025,-0.9149218970223637,-0.14084350739169854,-0.6003490142828374,-0.5579492194691491
-0.762016526800025,-0.9169150664888422,-0.1967765648130182,-0.5576331849095857,-0.8718491159045038
-0.7667881682101243,-0.921860979330224,-0.1967765648130182,-0.5288507241071329,-0.8677227843143297
-0.6865629310148191,-0.8334551666771124,-0.1846111251856981,-0.5409907215839145,-0.7336197252200507
-0.7647216432161336,-0.921860979330224,-0.1967765648130182,-0.6077350672794065,-1.2746737808937556
-0.762016526800025,-0.9163953636965966,0.1717985074368859,-0.5962875447050054,-0.7900022607290116
-0.7674267596322423,-0.921860979330224,-0.1967765648130182,-0.5763111313740392,-0.7105292974259156
-0.06255322252859909,-0.41262610063788185,-0.18573618653007304,-0.4779336048840558,-1.6698476354432148
-0.7007522458694517,-0.8670521016613023,-0.18663702518456815,-0.5746733232430187,-1.3295537303058529
-0.7593114103839163,-0.920451595684423,-0.1810453926099117,-0.6153389465741491,-1.7291582659571203
-0.7235063028472692,-0.8699170586661512,-0.19432375087855713,-0.5848523781144549,-0.5481577224154786
-0.6582848721236721,-0.7922046779314063,-0.13133488844809516,-0.5513280991594085,-0.5141316518424357
-0.10460057825868234,-0.291271627431862,-0.16618704876532236,-0.34358981905211894,-1.0931865595215509
