"id","user_id","time","X","Y","tagName","tagId"
148,3,1676939564511,858,89,NULL,NULL
149,3,1676939564983,857,73,NULL,NULL
150,3,1676939565855,847,201,NULL,NULL
151,3,1676939566775,471,496,NULL,NULL
152,3,1676939608455,385,591,NULL,NULL
153,3,1676939611655,767,141,NULL,NULL
154,3,1676939623375,839,153,NULL,NULL
155,3,1676939625431,909,45,NULL,NULL
156,3,1676939626119,879,171,NULL,NULL
157,3,1676939632176,496,214,NULL,NULL
158,3,1676939631920,496,214,NULL,NULL
159,3,1676939633865,479,117,NULL,NULL
160,3,1676939635943,368,125,NULL,NULL
161,3,1676939636263,332,125,NULL,NULL
162,3,1676939638687,168,119,NULL,NULL
163,4,1676966619144,184,276,NULL,NULL
164,4,1676966620562,1621,525,NULL,NULL
165,4,1676966621815,181,638,NULL,NULL
166,4,1676966622626,177,507,NULL,NULL
167,4,1676966623484,156,386,NULL,NULL
168,4,1676966641214,465,97,NULL,NULL
169,4,1676966645113,425,355,NULL,NULL
170,4,1676966647454,1108,626,NULL,NULL
171,4,1676966649076,1108,626,NULL,NULL
172,4,1676966656255,1396,39,NULL,NULL
173,4,1676966659568,1362,208,NULL,NULL
174,4,1676966664185,779,614,NULL,NULL
175,4,1676966685548,796,507,NULL,NULL
176,4,1676966687767,893,758,NULL,NULL
177,4,1676966691268,818,132,NULL,NULL
178,4,1676966690026,637,132,NULL,NULL
179,4,1676966692577,521,139,NULL,NULL
180,2,1677155024416,777,151,NULL,NULL
181,2,1677155027866,974,143,NULL,NULL
182,2,1677155029949,1247,55,NULL,NULL
183,2,1677155032122,1212,55,NULL,NULL
184,2,1677155033738,1100,201,NULL,NULL
185,2,1677155035074,590,521,NULL,NULL
186,2,1677155038755,546,590,NULL,NULL
187,2,1677155078708,1103,583,NULL,NULL
188,2,1677155079166,733,765,NULL,NULL
189,2,1677155080382,1204,39,NULL,NULL
190,2,1677155081270,1078,121,NULL,NULL
191,2,1677155082350,561,390,NULL,NULL
192,2,1677155082783,564,352,NULL,NULL
193,2,1677155086996,551,428,NULL,NULL
194,2,1677155088429,571,504,NULL,NULL
195,2,1677155090997,1180,53,NULL,NULL
196,2,1677155091977,1154,139,NULL,NULL
197,2,1677155092725,1156,68,NULL,NULL
198,2,1677155093477,1145,175,NULL,NULL
199,2,1677155094589,1149,58,NULL,NULL
200,2,1677155095645,1128,286,NULL,NULL
201,5,1677155115235,979,141,NULL,NULL
202,5,1677155117171,562,619,NULL,NULL
203,5,1677155118563,409,133,NULL,NULL
204,5,1677155120796,241,637,NULL,NULL
205,5,1677155120371,246,646,NULL,NULL
206,5,1677155122515,1010,126,NULL,NULL
207,5,1677155124026,605,140,NULL,NULL
208,5,1677155126547,733,133,NULL,NULL
209,5,1677155127721,287,139,NULL,NULL
210,5,1677155129377,1246,65,NULL,NULL
211,5,1677155130594,1018,231,NULL,NULL
212,5,1677155130995,1013,226,NULL,NULL
213,5,1677155132377,1009,227,NULL,NULL
214,5,1677155133218,304,133,NULL,NULL
215,5,1677155135649,466,604,NULL,NULL
216,5,1677155138194,476,916,NULL,NULL
217,5,1677155140705,1268,61,NULL,NULL
218,5,1677155142194,1004,222,NULL,NULL
219,5,1677155142586,1004,222,NULL,NULL
220,5,1677155142978,1004,222,NULL,NULL
221,5,1677155143456,1011,223,NULL,NULL
222,5,1677155144121,1011,228,NULL,NULL
223,5,1677155143777,1011,225,NULL,NULL
224,5,1677155144729,912,53,NULL,NULL
225,5,1677155156216,1097,164,NULL,NULL
226,5,1677155155129,1097,32,NULL,NULL
227,5,1677155158570,166,626,NULL,NULL
228,5,1677155158024,551,611,NULL,NULL
229,5,1677155160416,1262,47,NULL,NULL
