"id","user_id","time","duration","X","Y","key","tagName","tagId"
247,6,1677162523165,79,246,638,0,NULL,NULL
248,6,1677162561589,137,759,604,0,NULL,NULL
249,6,1677162568270,79,671,752,0,NULL,NULL
250,6,1677162568920,81,1167,618,0,NULL,NULL
251,9,1677162568465,203,417,752,0,NULL,NULL
252,6,1677162676717,119,527,656,0,NULL,NULL
253,6,1677162680902,112,691,750,0,NULL,NULL
254,9,1677162855647,203,1260,47,0,NULL,NULL
255,9,1677162856844,203,1183,215,0,NULL,NULL
256,9,1677163265177,155,1058,328,2,NULL,NULL
257,9,1677163298361,203,478,644,0,NULL,NULL
258,9,1677163326734,218,514,758,0,NULL,NULL
259,9,1677163638915,203,277,627,0,NULL,NULL
260,9,1677163642765,220,1237,442,0,NULL,NULL
261,9,1677163646696,203,1229,558,0,NULL,NULL
262,9,1677163650510,186,934,592,0,NULL,NULL
263,9,1677163652971,203,1258,264,0,NULL,NULL
264,9,1677163655906,204,603,421,0,NULL,NULL
265,9,1677163661172,220,1286,537,0,NULL,NULL
266,9,1677163663707,203,1229,336,0,NULL,NULL
267,9,1677163664817,204,1229,336,0,NULL,NULL
268,9,1677163665458,203,1229,336,0,NULL,NULL
269,9,1677163665867,156,1229,336,0,NULL,NULL
270,9,1677163665968,77,1229,336,0,NULL,NULL
271,9,1677163667346,203,1229,336,0,NULL,NULL
272,9,1677163673114,204,1238,715,0,NULL,NULL
273,9,1677163675556,203,596,720,0,NULL,NULL
274,9,1677163681048,202,642,136,0,NULL,NULL
275,9,1677163684286,204,1092,134,0,NULL,NULL
276,9,1677163687794,219,498,122,0,NULL,NULL
277,9,1677163693815,204,1210,54,0,NULL,NULL
278,9,1677163695363,203,1186,139,0,NULL,NULL
279,6,1677164990149,111,1210,30,0,NULL,NULL
280,6,1677164993270,119,780,277,0,NULL,NULL
281,6,1677164992223,128,668,363,0,NULL,NULL
282,6,1677164994095,120,707,363,0,NULL,NULL
283,6,1677164997931,180,655,417,0,NULL,NULL
284,6,1677165000256,88,708,506,0,NULL,NULL
285,6,1677165568702,72,536,149,0,NULL,NULL
286,6,1677165569469,105,631,141,0,NULL,NULL
287,10,1677165635193,96,616,626,0,NULL,NULL
288,12,1677165652170,104,697,134,0,NULL,NULL
289,10,1677165651065,112,1245,52,0,NULL,NULL
290,10,1677165654673,103,1227,385,0,NULL,NULL
291,12,1677165659905,112,747,608,0,NULL,NULL
292,11,1677165664572,95,733,274,0,NULL,NULL
293,11,1677165667980,71,567,190,0,NULL,NULL
294,12,1677165676473,97,1436,507,0,NULL,NULL
295,12,1677165678417,112,714,134,0,NULL,NULL
296,12,1677165680217,104,449,423,0,NULL,NULL
297,12,1677165684017,103,648,147,0,NULL,NULL
298,12,1677165689602,111,559,129,0,NULL,NULL
299,12,1677165698826,80,774,496,0,NULL,NULL
300,12,1677165700571,120,759,392,0,NULL,NULL
301,12,1677165699993,137,685,503,0,NULL,NULL
302,12,1677165702809,88,1431,508,0,NULL,NULL
303,12,1677165705105,96,1557,40,0,NULL,NULL
304,12,1677165704105,72,1526,38,0,NULL,NULL
305,12,1677165717289,104,737,128,0,NULL,NULL
306,12,1677165721737,113,780,606,0,NULL,NULL
307,12,1677165728522,97,437,556,0,NULL,NULL
308,12,1677165731089,145,419,48,0,NULL,NULL
309,12,1677165738577,112,538,401,0,NULL,NULL
310,12,1677165743217,105,1486,50,0,NULL,NULL
311,12,1677165751481,96,825,474,0,NULL,NULL
312,12,1677165754665,104,1445,59,0,NULL,NULL
313,12,1677165753225,96,1573,524,0,NULL,NULL
314,12,1677165757097,120,1433,211,0,NULL,NULL
315,12,1677165763044,136,943,512,0,NULL,NULL
316,12,1677165818657,127,925,755,0,NULL,NULL
317,14,1677165890711,157,1280,391,0,NULL,NULL
318,14,1677165891540,181,1263,352,0,NULL,NULL
319,14,1677165899060,192,1216,621,0,NULL,NULL
320,14,1677165902156,136,1348,49,0,NULL,NULL
321,14,1677165907300,256,217,59,0,NULL,NULL
322,14,1677165914693,161,459,136,0,NULL,NULL
323,14,1677165915654,101,688,145,0,NULL,NULL
324,14,1677165917175,100,1079,140,0,NULL,NULL
325,14,1677165917901,120,1276,55,0,NULL,NULL
326,14,1677165916445,86,846,133,0,NULL,NULL
327,14,1677165919895,112,1211,205,0,NULL,NULL
328,14,1677165921186,107,788,383,0,NULL,NULL
329,14,1677165926531,4521,556,221,0,NULL,NULL
330,15,1677165946864,206,1356,38,0,NULL,NULL
331,14,1677165946446,77,808,485,0,NULL,NULL
332,14,1677165947303,83,745,619,0,NULL,NULL
333,14,1677165948762,99,770,536,0,NULL,NULL
334,15,1677165970957,214,372,148,0,NULL,NULL
335,4,1677165976824,180,1363,62,0,NULL,NULL
336,4,1677165978067,180,1363,62,0,NULL,NULL
337,15,1677165984076,209,1281,64,0,NULL,NULL
338,15,1677165986025,211,1170,217,0,NULL,NULL
339,16,1677166122824,314,699,346,0,NULL,NULL
340,6,1677166174148,88,1425,40,0,NULL,NULL
341,4,1677166233587,180,1407,53,0,NULL,NULL
342,4,1677166231698,178,1407,53,0,NULL,NULL
343,4,1677166237329,180,1389,44,0,NULL,NULL
344,4,1677166235950,180,1389,44,0,NULL,NULL
345,6,1677166340288,103,516,126,0,NULL,NULL
346,6,1677166341544,104,516,126,0,NULL,NULL
347,6,1677166342792,96,647,153,0,NULL,NULL
348,4,1677166359338,180,1455,47,0,NULL,NULL
349,4,1677166360661,178,1455,47,0,NULL,NULL
350,6,1677166636312,119,541,136,0,NULL,NULL
351,6,1677166637447,112,620,123,0,NULL,NULL
352,6,1677166639871,119,949,132,0,NULL,NULL
353,6,1677166638888,112,765,130,0,NULL,NULL
354,6,1677166641457,128,1239,123,0,NULL,NULL
355,6,1677166642720,112,1425,56,0,NULL,NULL
356,19,1677166746305,88,862,107,0,NULL,NULL
357,19,1677166745861,144,898,154,0,NULL,NULL
