duration,interArrivalTime,Type
147,275.0,Human
112,112.0,Human
149,150.0,Human
112,111.0,Human
149,213.0,Human
149,147.0,Human
111,72.0,Human
154,173.0,Human
113,74.0,Human
150,181.0,Human
112,75.0,Human
150,250.0,Human
111,111.0,Human
112,113.0,Human
187,149.0,Human
188,150.0,Human
112,74.0,Human
190,205.0,Human
113,74.0,Human
77,113.0,Human
149,111.0,Human
150,150.0,Human
147,154.0,Human
76,96.0,Human
76,111.0,Human
112,75.0,Human
223,686.0,Human
112,639.0,Human
109,255.0,Human
111,481.0,Human
150,291.0,Human
186,187.0,Human
112,37.0,Human
101,112.0,Human
149,155.0,Human
186,186.0,Human
193,1094.0,Human
141,143.0,Human
151,73.0,Human
104,118.0,Human
113,69.0,Human
112,311.0,Human
187,234.0,Human
113,74.0,Human
147,166.0,Human
151,112.0,Human
150,75.0,Human
149,179.0,Human
112,129.0,Human
111,112.0,Human
150,75.0,Human
139,149.0,Human
151,449.0,Human
187,1180.0,Human
262,226.0,Human
112,73.0,Human
149,204.0,Human
149,113.0,Human
149,148.0,Human
188,113.0,Human
112,37.0,Human
148,184.0,Human
150,74.0,Human
184,436.0,Human
150,438.0,Human
112,36.0,Human
149,150.0,Human
150,199.0,Human
74,37.0,Human
75,259.0,Human
210,257.0,Human
355,1.0,Human
124,24.0,Human
93,70.0,Human
149,149.0,Human
112,75.0,Human
202,163.0,Human
118,30.0,Human
142,181.0,Human
246,300.0,Human
186,224.0,Human
227,1044.0,Human
187,75.0,Human
113,74.0,Human
115,172.0,Human
113,75.0,Human
111,165.0,Human
652,114.0,Human
911,72.0,Human
188,114.0,Human
185,73.0,Human
374,508.0,Human
151,37.0,Human
150,262.0,Human
151,151.0,Human
150,76.0,Human
149,73.0,Human
112,161.0,Human
112,198.0,Human
148,174.0,Human
113,37.0,Human
112,75.0,Human
150,1543.0,Human
149,371.0,Human
74,79.0,Human
77,137.0,Human
76,129.0,Human
450,187.0,Human
939,1350.0,Human
1473,47.0,Human
713,185.0,Human
490,1.0,Human
410,1034.0,Human
634,1088.0,Human
188,291.0,Human
785,943.0,Human
112,75.0,Human
149,345.0,Human
150,150.0,Human
113,37.0,Human
186,149.0,Human
149,150.0,Human
112,357.0,Human
113,357.0,Human
148,311.0,Human
187,294.0,Human
112,37.0,Human
74,313.0,Human
111,177.0,Human
149,151.0,Human
149,149.0,Human
150,149.0,Human
186,3521.0,Human
186,192.0,Human
76,187.0,Human
112,178.0,Human
222,358.0,Human
224,223.0,Human
107,75.0,Human
114,308.0,Human
61,1231.0,Human
96,1371.0,Human
107,538.0,Human
29,413.0,Human
