"id","user_id","time","distance","startX","startY","endX","endY","duration","gradient","variance"
101,2,1676932340394,139.51003,381,158,491,239,149,0.35744834,0.17879997
102,2,1676932340744,71.44164,492,240,548,192,251,1.1768627,NULL
103,2,1676932343122,97.187584,365,446,297,365,140,1.3223839,0.51154006
104,2,1676932342141,208.88766,271,547,382,475,956,5.8526382,23.635614
105,2,1676932343402,422.89142,297,358,393,53,195,2.6845238,0.26817602
106,2,1676932342018,159.88347,251,390,257,397,121,1.2391047,1.6882046
107,2,1676932344090,123.19488,383,165,317,289,156,2.9580026,8.826384
108,2,1676932344447,23.172169,320,290,344,277,131,0.63265306,0.06249711
109,2,1676932346105,1153.3308,152,354,1358,466,281,0.17957158,0.15947162
110,2,1676932346915,1119.6207,1360,471,137,352,383,0.24395357,NULL
111,2,1676932344811,330.43967,343,277,104,270,120,0.03610675,0.01223849
112,2,1676932803062,465.5513,815,44,1163,0,152,0.9695135,1.6229877
113,2,1676932804155,406.62085,1258,62,1371,349,502,1.6972249,NULL
114,2,1676932812728,411.63873,1234,610,1148,226,423,3.0276217,6.3385615
115,2,1676932813152,98.642136,1153,217,1217,129,158,1.5303571,0.10486926
116,2,1676932815190,65.38537,1229,67,1286,42,246,1.403467,3.05192
117,2,1676932818118,157.89343,1324,45,1373,139,39,0.28988096,0.41139594
118,2,1676932819417,777.65375,1345,96,544,255,333,0.32039338,0.093590766
119,2,1676932819845,225.33342,543,255,371,303,161,0.26213807,0.065945
120,2,1676932820015,594.9377,406,294,1030,196,240,0.111143865,0.011802228
121,2,1676932820297,85.79172,1031,196,1118,222,97,0.3313492,0.101871535
122,2,1676932820886,75.87731,1089,229,1120,161,137,2.5948718,NULL
123,2,1676932823597,191.80615,1192,95,1097,258,204,2.364143,1.445024
124,2,1676932824301,419.62955,873,293,1246,79,136,0.59740937,0.014923329
125,2,1676932824069,194.42844,1067,258,874,294,159,0.18212421,0.026692014
126,2,1676932823941,26,1095,259,1070,258,64,0.071428575,0.030612245
127,2,1676932825054,102.33718,1245,72,1213,166,181,2.8983333,2.2103584
128,2,1676932825976,691.7644,1215,205,670,532,513,2.445538,9.503452
129,2,1676932846183,1,638,600,637,600,29,0,0
130,2,1676932879668,85.34943,629,598,598,523,50,2.4133334,0.3673778
131,2,1676932879868,62.762566,572,706,574,767,83,7.225926,42.68484
132,2,1676932881669,71.61281,1128,683,1133,623,114,3,7.1
133,2,1676932881875,1131.0057,1128,618,184,303,416,0.7964907,0.28976795
134,2,1676932882397,25,176,304,138,304,33,0.0625,NULL
135,2,1676932914265,539.0231,527,0,1049,112,282,0.21843562,0.019193871
