"id","user_id","time","duration","startY","endY","speedList"
186,75,11124,6094,1691,1989,"{}"
187,75,20270,3086,204,1691,"{}"
188,74,27758,6584,0,41,"{}"
189,75,26415,3072,1195,0,"{}"
190,75,41911,3428,204,7,"{}"
191,74,54252,5561,0,20,"{}"
192,74,63293,2031,636,178,"{}"
193,74,60925,1268,220,306,"{}"
194,74,67379,316,211,0,"{}"
195,74,70439,344,211,0,"{}"
196,76,14364,390,113,0,"{}"
197,76,48794,1062,20,145,"{}"
198,76,55408,289,186,0,"{}"
199,76,51312,2042,186,178,"{}"
200,77,17379,394,113,0,"{}"
201,78,7618,6128,204,700,"{}"
202,77,46722,346,7,0,"{}"
203,78,19842,3060,1195,204,"{}"
204,78,28996,2265,0,158,"{}"
205,79,5162,3151,1195,1691,"{}"
206,79,11382,3053,1195,1691,"{}"
207,79,17488,3038,1195,700,"{}"
208,80,17193,380,113,0,"{}"
209,79,26604,6075,1691,1195,"{}"
210,79,35745,2267,0,158,"{}"
211,80,46495,331,7,0,"{}"
212,81,4830,3057,1989,700,"{}"
213,81,10950,3059,1989,1691,"{}"
214,81,17069,6088,1989,0,"{}"
215,83,4811,3093,1989,204,"{}"
216,82,13659,359,113,0,"{}"
217,83,10969,3053,1195,1691,"{}"
218,83,17074,3032,1195,1989,"{}"
219,83,25274,4324,0,536,"{-0.09090909}"
220,82,39379,1025,7,36,"{}"
221,82,41440,697,110,186,"{}"
222,83,33900,8616,1939,0,"{}"
223,82,44173,4030,178,186,"{}"
224,84,4772,3071,1989,700,"{}"
225,84,10911,3058,1989,700,"{}"
226,84,17047,5176,1691,452,"{-0.071428575}"
227,84,26528,10895,948,0,"{}"
228,84,39685,344,158,7,"{}"
229,85,6921,3127,1691,1195,"{}"
230,85,13112,3045,1989,204,"{}"
231,85,19222,3049,1195,700,"{}"
232,85,27438,4319,0,948,"{}"
233,86,14770,390,113,0,"{}"
234,85,40390,10,1528,1527,"{-0.1}"
235,85,46954,2268,0,158,"{}"
236,87,5026,3127,1691,1195,"{}"
237,87,11210,6104,1989,1195,"{}"
238,87,22494,15,453,452,"{-0.06666667}"
239,88,12264,398,113,0,"{}"
240,87,35450,4329,1032,1443,"{-0.083333336}"
241,87,42008,2267,0,158,"{}"
242,89,9816,3073,1989,1691,"{}"
243,89,18985,6083,1195,1691,"{}"
244,89,30214,4328,0,1443,"{-0.071428575}"
245,89,38844,8833,41,158,"{}"
246,89,51785,339,20,0,"{}"
247,90,5237,3119,700,1691,"{}"
248,90,11406,3056,204,700,"{}"
249,90,17532,9535,204,1443,"{-0.06666667}"
250,90,35688,8830,0,158,"{}"
251,90,44845,4039,7,0,"{}"
252,91,20803,3043,502,204,"{}"
253,91,53743,6082,502,204,"{}"
254,91,67959,7,453,452,"{-0.14285715}"
255,92,14192,20274,204,452,"{-0.11111111}"
256,92,47377,5766,0,204,"{}"
257,93,13985,18504,204,452,"{-0.125}"
258,94,18227,387,113,0,"{}"
259,93,41128,5760,0,204,"{}"
260,93,49920,3025,502,204,"{}"
261,93,58011,8,453,452,"{-0.125}"
262,94,76075,305,7,0,"{}"
263,95,17690,13993,7,0,"{}"
264,95,37398,13919,7,0,"{}"
265,96,18183,374,113,0,"{}"
266,96,55259,1053,7,11,"{}"
267,97,14173,15166,204,502,"{}"
268,97,47385,5764,0,204,"{}"
269,98,14211,5127,204,452,"{-0.09090909}"
270,99,12083,409,113,0,"{}"
271,98,32247,5757,0,7,"{}"
272,99,32649,8,453,452,"{-0.125}"
273,99,45944,3299,0,41,"{}"
274,99,54800,919,235,327,"{}"
275,99,56970,8381,387,20,"{}"
276,99,66506,2039,861,178,"{}"
277,100,6617,3116,700,1691,"{}"
278,100,12783,3050,1195,1989,"{}"
279,101,18497,389,113,0,"{}"
280,100,18885,3061,204,700,"{}"
281,101,26720,12,453,452,"{-0.083333336}"
282,100,24987,6101,1989,700,"{}"
283,100,34165,2269,0,158,"{}"
284,100,40499,310,204,7,"{}"
285,101,39590,19631,0,94,"{}"
286,101,60072,4599,241,20,"{}"
287,101,71847,298,186,0,"{}"
288,101,65758,2036,186,178,"{}"
289,102,16919,393,113,0,"{}"
290,102,46662,5,453,452,"{-0.2}"
291,102,48913,4732,473,20,"{}"
292,104,20417,338,196,73,"{}"
293,105,16244,358,196,73,"{}"
294,106,15755,352,196,73,"{}"
295,107,15013,349,196,73,"{}"
296,108,14776,336,196,73,"{}"
297,109,20379,348,196,73,"{}"
298,110,14154,360,196,73,"{}"
299,111,16348,351,196,73,"{}"
