user_id,duration,average_speedList
43,252,1.4618802906250001
56,283,0.07400507730769229
56,283,0.3535258020588235
6,135,5.86264292
6,135,5.86264292
60,1334,0.0
60,625,0.0
60,1334,0.0
60,625,0.0
60,1346,0.0
60,821,0.0
60,926,0.0
61,330,0.0
62,6166,0.0
62,557,0.0
62,1513,0.0
62,9264,0.0
62,2711,0.0
62,1981,0.0
63,1000,0.0
63,1053,0.0
63,1042,0.0
63,1285,0.0
63,6230,0.0
63,8884,-0.1
63,14,-0.071428575
63,1334,0.0
63,316,0.0
63,1085,0.0
63,1168,0.0
63,816,0.0
63,4935,0.0
63,792,0.0
64,10,-0.1
64,8616,0.0
64,13,-0.07692308
64,18,-0.055555556
64,13,-0.07692308
64,2232,0.0
65,13050,-0.11111111
65,12,-0.083333336
65,4343,0.0
65,6,-0.16666667
65,4124,0.0
65,2746,0.0
67,12,-0.083333336
67,4354,-0.0625
67,8656,0.0
67,4324,0.0
69,4372,-0.125
69,4351,-0.1
69,4307,0.0
70,348,0.0
69,2234,0.0
70,47,2.4255319
69,315,0.0
70,32,0.0
70,4944,0.0
70,51,3.0
70,4948,0.0
70,27,-3.074074
70,53,4.4150944
70,32,0.0
70,4931,0.0
70,70,-2.34711465
70,333,-2.2142856
70,40,12.4
70,4953,0.0
70,25,-9.44
71,355,0.0
71,50,2.28
71,30,-4.0666666
71,4948,0.0
71,51,3.0
71,31,0.0
71,4947,0.0
71,68,-1.0689655
71,333,-0.074074075
71,43,4.0465117
71,4953,0.0
71,23,-2.6956522
71,39,12.717949
71,4954,0.0
71,24,-9.833333
72,379,0.0
73,354,0.0
73,52,2.1923077
73,4930,0.0
73,31,0.0
73,71,-2.2475370000000003
73,333,-4.368421
73,68,-1.7527470000000003
73,333,-0.074074075
73,59,0.0
73,333,-3.1
73,41,12.097561
73,4954,0.0
73,22,-10.727273
74,405,0.0
75,3068,0.0
74,8,-0.125
75,6094,0.0
75,3086,0.0
74,6584,0.0
75,3072,0.0
75,3428,0.0
74,5561,0.0
74,2031,0.0
74,1268,0.0
74,316,0.0
74,344,0.0
76,390,0.0
76,1062,0.0
76,289,0.0
76,2042,0.0
77,394,0.0
78,6128,0.0
77,346,0.0
78,3060,0.0
78,2265,0.0
79,3151,0.0
79,3053,0.0
79,3038,0.0
80,380,0.0
79,6075,0.0
79,2267,0.0
80,331,0.0
81,3057,0.0
81,3059,0.0
81,6088,0.0
83,3093,0.0
82,359,0.0
83,3053,0.0
83,3032,0.0
83,4324,-0.09090909
82,1025,0.0
82,697,0.0
83,8616,0.0
82,4030,0.0
84,3071,0.0
84,3058,0.0
84,5176,-0.071428575
84,10895,0.0
84,344,0.0
85,3127,0.0
85,3045,0.0
85,3049,0.0
