user_id,duration,interArrivalTime,Type
105,61,116.0,Bot
105,132,207.0,Bot
105,147,240.0,Bot
105,80,178.0,Bot
105,124,179.0,Bot
105,137,230.0,Bot
105,74,179.0,Bot
105,85,181.0,Bot
105,93,151.0,Bot
105,104,198.0,Bot
105,96,165.0,Bot
105,64,901.0,Bot
105,54,144.0,Bot
105,77,170.0,Bot
105,124,179.0,Bot
105,126,236.0,Bot
105,100,188.0,Bot
105,147,224.0,Bot
105,119,194.0,Bot
105,96,164.0,Bot
105,148,206.0,Bot
105,107,189.0,Bot
105,75,136.0,Bot
105,90,187.0,Bot
105,133,243.0,Bot
105,119,186.0,Bot
105,63,120.0,Bot
105,56,129.0,Bot
105,104,161.0,Bot
105,115,179.0,Bot
105,70,142.0,Bot
105,135,207.0,Bot
105,103,148.0,Bot
105,83,152.0,Bot
105,67,171.0,Bot
105,145,232.0,Bot
105,121,165.0,Bot
105,84,170.0,Bot
105,152,240.0,Bot
105,122,166.0,Bot
105,156,204.0,Bot
105,92,177.0,Bot
105,74,123.0,Bot
105,141,200.0,Bot
105,57,107.0,Bot
105,156,219.0,Bot
105,114,199.0,Bot
105,116,210.0,Bot
105,67,149.0,Bot
105,110,191.0,Bot
105,103,164.0,Bot
105,118,161.0,Bot
105,97,165.0,Bot
105,92,166.0,Bot
105,123,226.0,Bot
105,67,140.0,Bot
105,145,214.0,Bot
105,101,204.0,Bot
105,154,253.0,Bot
105,89,151.0,Bot
105,150,229.0,Bot
105,150,195.0,Bot
105,125,193.0,Bot
105,114,1369.0,Bot
105,147,217.0,Bot
105,62,133.0,Bot
105,81,141.0,Bot
105,128,174.0,Bot
105,122,176.0,Bot
105,106,203.0,Bot
105,118,208.0,Bot
105,83,174.0,Bot
105,142,231.0,Bot
105,127,220.0,Bot
105,94,144.0,Bot
105,83,179.0,Bot
105,86,140.0,Bot
105,68,132.0,Bot
105,92,142.0,Bot
105,93,156.0,Bot
105,128,176.0,Bot
105,76,154.0,Bot
105,59,163.0,Bot
105,104,192.0,Bot
105,87,182.0,Bot
105,130,174.0,Bot
105,72,162.0,Bot
105,106,205.0,Bot
105,67,147.0,Bot
105,143,208.0,Bot
105,89,138.0,Bot
105,156,252.0,Bot
105,85,150.0,Bot
105,82,150.0,Bot
105,138,219.0,Bot
