user_id,duration,interArrivalTime,Type
4,44,53.0,Human
4,101,4667.0,Human
4,52,54.0,Human
4,109,142.0,Human
4,76,58.0,Human
4,51,119.0,Human
5,111,75.0,Human
5,150,110.0,Human
5,150,151.0,Human
5,149,74.0,Human
5,262,262.0,Human
5,151,1.0,Human
5,638,946.0,Human
5,111,248.0,Human
5,148,195.0,Human
5,150,112.0,Human
5,149,111.0,Human
5,111,259.0,Human
5,185,340.0,Human
5,151,286.0,Human
5,150,113.0,Human
5,112,37.0,Human
5,223,1997.0,Human
5,187,148.0,Human
5,150,150.0,Human
5,151,208.0,Human
6,114,128.0,Human
6,185,315.0,Human
6,149,112.0,Human
6,225,341.0,Human
6,112,37.0,Human
6,186,288.0,Human
6,111,112.0,Human
6,150,111.0,Human
6,150,74.0,Human
6,158,176.0,Human
6,74,168.0,Human
6,113,122.0,Human
6,74,75.0,Human
6,36,36.0,Human
6,150,1292.0,Human
6,149,149.0,Human
6,150,150.0,Human
6,76,36.0,Human
6,474,123.0,Human
6,634,13.0,Human
6,114,220.0,Human
6,149,149.0,Human
6,151,76.0,Human
6,149,153.0,Human
6,76,250.0,Human
6,260,2198.0,Human
6,149,39.0,Human
6,148,264.0,Human
6,76,300.0,Human
6,74,149.0,Human
6,151,241.0,Human
6,187,312.0,Human
6,148,1966.0,Human
6,76,36.0,Human
6,112,193.0,Human
6,112,74.0,Human
6,112,228.0,Human
6,74,357.0,Human
6,149,193.0,Human
6,149,37.0,Human
6,74,74.0,Human
6,149,221.0,Human
6,148,153.0,Human
6,150,112.0,Human
6,188,113.0,Human
6,227,437.0,Human
6,149,149.0,Human
6,151,191.0,Human
6,149,150.0,Human
6,186,237.0,Human
6,150,75.0,Human
6,74,37.0,Human
6,189,266.0,Human
6,150,38.0,Human
6,149,112.0,Human
6,112,37.0,Human
6,75,74.0,Human
6,149,162.0,Human
6,188,221.0,Human
6,113,75.0,Human
6,148,149.0,Human
6,113,187.0,Human
6,262,38.0,Human
6,186,299.0,Human
6,150,112.0,Human
6,149,112.0,Human
6,150,196.0,Human
6,148,149.0,Human
6,112,37.0,Human
6,150,616.0,Human
6,75,36.0,Human
6,152,260.0,Human
6,73,74.0,Human
6,148,232.0,Human
6,112,38.0,Human
6,73,74.0,Human
6,148,250.0,Human
6,149,150.0,Human
6,150,75.0,Human
6,75,208.0,Human
6,112,112.0,Human
6,112,211.0,Human
6,186,191.0,Human
6,113,38.0,Human
6,149,178.0,Human
6,150,113.0,Human
6,113,74.0,Human
6,111,212.0,Human
6,114,175.0,Human
6,138,1076.0,Human
6,110,145.0,Human
6,260,283.0,Human
6,150,37.0,Human
6,187,150.0,Human
6,150,112.0,Human
6,192,154.0,Human
